City: Abbeville, LA, Adj: 10
City: California City, CA, Adj: 6
City: Camarillo, CA, Adj: 8
City: Cambridge, MD, Adj: 10
City: Cambridge, MN, Adj: 14
City: Cambridge, OH, Adj: 11
City: Camden, AR, Adj: 12
City: Camden, SC, Adj: 7
City: Campbellsville, KY, Adj: 18
City: Canby, OR, Adj: 15
City: Canon City, CO, Adj: 5
City: Canton, IL, Adj: 12
City: Canton, MS, Adj: 11
City: Canton, OH, Adj: 12
City: Canyon, TX, Adj: 8
City: Cape Coral, FL, Adj: 6
City: Cape Girardeau, MO, Adj: 12
City: Carbondale, IL, Adj: 8
City: Carlsbad, NM, Adj: 9
City: Carrollton, GA, Adj: 13
City: Carson City, NV, Adj: 24
City: Cartersville, GA, Adj: 9
City: Carthage, MO, Adj: 12
City: Casa Grande, AZ, Adj: 17
City: Casper, WY, Adj: 2
City: Cedar City, UT, Adj: 3
City: Cedar Rapids, IA, Adj: 10
City: Cedartown, GA, Adj: 14
City: Celina, OH, Adj: 13
City: Centralia, IL, Adj: 6
City: Centralia, WA, Adj: 10
City: Chambersburg, PA, Adj: 12
City: Champaign, IL, Adj: 8
City: Chaparral, NM, Adj: 5
City: Charleston, IL, Adj: 8
City: Charleston, WV, Adj: 8
City: Charleston, SC, Adj: 2
City: Charles Town, WV, Adj: 22
City: Charlotte, MI, Adj: 10
City: Charlotte, NC, Adj: 9
City: Charlotte Amalie, VI, Adj: 2
City: Charlottesville, VA, Adj: 3
City: Chattanooga, TN, Adj: 14
City: Cheney, WA, Adj: 6
City: Chesapeake Beach, MD, Adj: 8
City: Cheyenne, WY, Adj: 14
City: Chicago, IL, Adj: 12
City: Chickasha, OK, Adj: 12
City: Chico, CA, Adj: 5
City: Chillicothe, OH, Adj: 11
City: Chino Valley, AZ, Adj: 14
City: Chowchilla, CA, Adj: 13
City: Christiansted, VI, Adj: 1
City: Cincinnati, OH, Adj: 19
City: Circleville, OH, Adj: 13
City: Claremore, OK, Adj: 14
City: Clarksburg, WV, Adj: 10
City: Clarksdale, MS, Adj: 10
City: Clarksville, TN, Adj: 12
City: Clearfield, PA, Adj: 9
City: Clearlake, CA, Adj: 8
City: Cleburne, TX, Adj: 18
City: Cleveland, MS, Adj: 10
City: Cleveland, OH, Adj: 6
City: Cleveland, TN, Adj: 9
City: Clewiston, FL, Adj: 8
City: Clinton, IA, Adj: 18
City: Clinton, SC, Adj: 11
City: Cloquet, MN, Adj: 3
City: Clovis, NM, Adj: 12
City: Coalinga, CA, Adj: 12
City: Coamo, PR, Adj: 15
City: Coco, PR, Adj: 13
City: Coeur d'Alene, ID, Adj: 6
City: Coffeyville, KS, Adj: 25
City: Colchester, CT, Adj: 10
City: Coldwater, MI, Adj: 12
City: College Station, TX, Adj: 11
City: Colorado Springs, CO, Adj: 8
City: Columbia, MO, Adj: 12
City: Columbia, SC, Adj: 5
City: Columbia, TN, Adj: 14
City: Columbus, GA, Adj: 9
City: Columbus, IN, Adj: 13
City: Columbus, MS, Adj: 5
City: Columbus, NE, Adj: 11
City: Columbus, OH, Adj: 14
City: Concord, CA, Adj: 22
City: Concord, NH, Adj: 9
City: Concord, NC, Adj: 10
City: Conneaut, OH, Adj: 5
City: Connersville, IN, Adj: 14
City: Conroe, TX, Adj: 10
City: Conway, AR, Adj: 10
City: Cookeville, TN, Adj: 9
City: Coolidge, AZ, Adj: 19
City: Coos Bay, OR, Adj: 7
City: Corcoran, CA, Adj: 18
City: Cordele, GA, Adj: 8
City: Corinth, MS, Adj: 7
City: Cornelia, GA, Adj: 9
City: Corning, NY, Adj: 7
City: Corpus Christi, TX, Adj: 8
City: Corsicana, TX, Adj: 18
City: Cortland, NY, Adj: 8
City: Corvallis, OR, Adj: 16
City: Coshocton, OH, Adj: 13
City: Cottage Grove, OR, Adj: 12
City: Cottonwood, AZ, Adj: 15
City: Craig, CO, Adj: 5
City: Crawfordsville, IN, Adj: 10
City: Crescent City, CA, Adj: 3
City: Cresson, PA, Adj: 10
City: Crestview, FL, Adj: 8
City: Crossville, TN, Adj: 7
City: Crowley, LA, Adj: 12
City: Cullman, AL, Adj: 18
City: Cullowhee, NC, Adj: 7
City: Culpeper, VA, Adj: 7
City: Cumberland, MD, Adj: 7
City: Dallas, OR, Adj: 18
City: Dallas, TX, Adj: 19
City: Dalton, GA, Adj: 12
City: Danbury, CT, Adj: 10
City: Danville, IL, Adj: 7
City: Danville, KY, Adj: 19
City: Danville, VA, Adj: 10
City: Daphne, AL, Adj: 7
City: Davenport, IA, Adj: 16
City: Davis, CA, Adj: 20
City: Dayton, NV, Adj: 18
City: Dayton, OH, Adj: 18
City: Dayton, TN, Adj: 9
City: Dayton, TX, Adj: 10
City: Decatur, AL, Adj: 18
City: Decatur, IL, Adj: 9
City: Decatur, IN, Adj: 14
City: Dededo, GU, Adj: 1
City: Defiance, OH, Adj: 12
City: DeKalb, IL, Adj: 25
City: Delano, CA, Adj: 16
City: Delavan, WI, Adj: 31
City: Del Rio, TX, Adj: 2
City: Deltona, FL, Adj: 9
City: Deming, NM, Adj: 7
City: Denton, TX, Adj: 17
City: Denver, CO, Adj: 15
City: DeRidder, LA, Adj: 9
City: Desert Hot Springs, CA, Adj: 9
City: Des Moines, IA, Adj: 8
City: Detroit, MI, Adj: 7
City: Dickinson, ND, Adj: 3
City: Dickson, TN, Adj: 13
City: Discovery Bay, CA, Adj: 23
City: Dixon, CA, Adj: 23
City: Dixon, IL, Adj: 22
City: Dodge City, KS, Adj: 6
City: Donaldsonville, LA, Adj: 16
City: Dothan, AL, Adj: 8
City: Douglas, AZ, Adj: 7
City: Douglas, GA, Adj: 5
City: Dover, DE, Adj: 15
City: Dover, NH, Adj: 10
City: Dublin, GA, Adj: 5
City: DuBois, PA, Adj: 9
City: Dubuque, IA, Adj: 12
City: Duluth, MN, Adj: 3
City: Dumas, TX, Adj: 8
City: Duncan, OK, Adj: 12
City: Dunkirk, NY, Adj: 5
City: Dunn, NC, Adj: 13
City: Durango, CO, Adj: 3
City: Durant, OK, Adj: 14
City: Durham, NC, Adj: 13
City: Dyersburg, TN, Adj: 15
City: Eagle Pass, TX, Adj: 2
City: Earlimart, CA, Adj: 18
City: East Liverpool, OH, Adj: 16
City: Easton, MD, Adj: 12
City: East Stroudsburg, PA, Adj: 16
City: Eau Claire, WI, Adj: 9
City: Eden, NC, Adj: 10
City: Edwards, CO, Adj: 7
City: Effingham, IL, Adj: 6
City: El Campo, TX, Adj: 7
City: El Centro, CA, Adj: 4
City: El Dorado, AR, Adj: 11
City: El Dorado, KS, Adj: 22
City: Elgin, TX, Adj: 12
City: Elizabeth City, NC, Adj: 3
City: Elizabethtown, KY, Adj: 19
City: Elk City, OK, Adj: 5
City: Elkhart, IN, Adj: 11
City: Elkhorn, WI, Adj: 30
City: Elkins, WV, Adj: 9
City: Elko, NV, Adj: 1
City: Ellensburg, WA, Adj: 6
City: Ellwood City, PA, Adj: 16
City: Elmira, NY, Adj: 9
City: El Paso, TX, Adj: 4
City: El Paso de Robles (Paso Robles), CA, Adj: 9
City: El Reno, OK, Adj: 11
City: Emporia, KS, Adj: 25
City: Enid, OK, Adj: 14
City: Ennis, TX, Adj: 19
City: Enterprise, AL, Adj: 9
City: Erie, PA, Adj: 7
City: Escanaba, MI, Adj: 2
City: Espanola, NM, Adj: 7
City: Estrella, AZ, Adj: 15
City: Eugene, OR, Adj: 17
City: Eunice, LA, Adj: 11
City: Eureka, CA, Adj: 3
City: Eureka, MO, Adj: 9
City: Evanston, WY, Adj: 11
City: Evansville, IN, Adj: 6
City: Evergreen, CO, Adj: 15
City: Excelsior Springs, MO, Adj: 13
City: Fairbanks, AK, Adj: 0
City: Fairfield, CA, Adj: 20
City: Fairfield, IA, Adj: 11
City: Fairmont, WV, Adj: 11
City: Fajardo, PR, Adj: 7
City: Fallon, NV, Adj: 9
City: Fargo, ND, Adj: 7
City: Faribault, MN, Adj: 20
City: Farmington, MO, Adj: 11
City: Farmington, NM, Adj: 4
City: Fayetteville, NC, Adj: 10
City: Fayetteville, AR, Adj: 14
City: Fergus Falls, MN, Adj: 5
City: Fernandina Beach, FL, Adj: 6
City: Fernley, NV, Adj: 13
City: Fillmore, CA, Adj: 12
City: Findlay, OH, Adj: 13
City: Firestone, CO, Adj: 14
City: Fitzgerald, GA, Adj: 6
City: Flagstaff, AZ, Adj: 8
City: Flint, MI, Adj: 7
City: Florence, AL, Adj: 12
City: Florence, AZ, Adj: 19
City: Florence, OR, Adj: 11
City: Florence, SC, Adj: 7
City: Florida, PR, Adj: 14
City: Foley, AL, Adj: 6
City: Fond du Lac, WI, Adj: 26
City: Forest City, NC, Adj: 14
City: Forest Lake, MN, Adj: 14
City: Forney, TX, Adj: 20
City: Forrest City, AR, Adj: 11
City: Fort Atkinson, WI, Adj: 29
City: Fort Bragg, CA, Adj: 1
City: Fort Collins, CO, Adj: 12
City: Fort Dodge, IA, Adj: 9
City: Fort Leonard Wood, MO, Adj: 7
City: Fort Madison, IA, Adj: 13
City: Fort Morgan, CO, Adj: 10
City: Fort Polk, LA, Adj: 9
City: Fort Smith, AR, Adj: 5
City: Fortuna, CA, Adj: 2
City: Fort Valley, GA, Adj: 7
City: Fort Walton Beach, FL, Adj: 5
City: Fort Wayne, IN, Adj: 13
City: Fostoria, OH, Adj: 14
City: Four Corners, FL, Adj: 14
City: Frankfort, IN, Adj: 12
City: Frankfort, KY, Adj: 28
City: Franklin, LA, Adj: 13
City: Franklin, NJ, Adj: 14
City: Frederick, MD, Adj: 13
City: Fredericksburg, TX, Adj: 7
City: Fredericksburg, VA, Adj: 6
City: Freeport, IL, Adj: 21
City: Fremont, NE, Adj: 11
City: Fremont, OH, Adj: 13
City: Fresno, CA, Adj: 16
City: Front Royal, VA, Adj: 6
City: Fulton, MO, Adj: 13
City: Gadsden, AL, Adj: 21
City: Gaffney, SC, Adj: 15
City: Gainesville, FL, Adj: 7
City: Gainesville, GA, Adj: 7
City: Gainesville, TX, Adj: 16
City: Galesburg, IL, Adj: 10
City: Galion, OH, Adj: 15
City: Galliano, LA, Adj: 11
City: Gallup, NM, Adj: 4
City: Galt, CA, Adj: 24
City: Galveston, TX, Adj: 9
City: Garapan, MP, Adj: 0
City: Garden City, KS, Adj: 4
City: Gardnerville Ranchos, NV, Adj: 28
City: Gastonia, NC, Adj: 12
City: Gatesville, TX, Adj: 11
City: Geneva, NY, Adj: 10
City: Georgetown, KY, Adj: 0
City: Georgetown, SC, Adj: 3
City: Gillette, WY, Adj: 3
City: Gilroy, CA, Adj: 17
City: Glasgow, KY, Adj: 14
City: Glens Falls, NY, Adj: 8
City: Glenwood Springs, CO, Adj: 7
City: Globe, AZ, Adj: 18
City: Gloversville, NY, Adj: 7
City: Goldsboro, NC, Adj: 11
City: Gramercy, LA, Adj: 15
City: Granbury, TX, Adj: 11
City: Grand Forks, ND, Adj: 4
City: Grand Island, NE, Adj: 8
City: Grand Junction, CO, Adj: 3
City: Grand Rapids, MI, Adj: 8
City: Grandview, WA, Adj: 10
City: Grants, NM, Adj: 7
City: Grants Pass, OR, Adj: 5
City: Grass Valley, CA, Adj: 14
City: Great Bend, KS, Adj: 9
City: Great Falls, MT, Adj: 4
City: Greeley, CO, Adj: 12
City: Green Bay, WI, Adj: 11
City: Greencastle, IN, Adj: 9
City: Greeneville, TN, Adj: 8
City: Greenfield, CA, Adj: 10
City: Greenfield, MA, Adj: 10
City: Green River, WY, Adj: 4
City: Greensboro, NC, Adj: 11
City: Greensburg, IN, Adj: 18
City: Greenville, MS, Adj: 11
City: Greenville, NC, Adj: 9
City: Greenville, OH, Adj: 17
City: Greenville, PA, Adj: 14
City: Greenville, SC, Adj: 12
City: Greenville, TX, Adj: 18
City: Greenwood, MS, Adj: 10
City: Greenwood, SC, Adj: 9
City: Grenada, MS, Adj: 11
City: Grove City, PA, Adj: 13
City: Guayama, PR, Adj: 12
City: Gulfport, MS, Adj: 10
City: Gun Barrel City, TX, Adj: 18
City: Guymon, OK, Adj: 6
City: Hagerstown, MD, Adj: 11
City: Hailey, ID, Adj: 7
City: Haleiwa, HI, Adj: 3
City: Half Moon Bay, CA, Adj: 12
City: Hammond, LA, Adj: 14
City: Hammonton, NJ, Adj: 10
City: Hampstead, NC, Adj: 4
City: Hanford, CA, Adj: 20
City: Hannibal, MO, Adj: 13
City: Hanover, PA, Adj: 14
City: Harlingen, TX, Adj: 6
City: Harriman, TN, Adj: 8
City: Harrisburg, PA, Adj: 16
City: Harrison, AR, Adj: 8
City: Harrison, OH, Adj: 20
City: Harrisonburg, VA, Adj: 6
City: Hartford, CT, Adj: 13
City: Hartsville, SC, Adj: 7
City: Hastings, MN, Adj: 19
City: Hastings, NE, Adj: 9
City: Hattiesburg, MS, Adj: 11
City: Havelock, NC, Adj: 7
City: Hawaiian Paradise Park, HI, Adj: 2
City: Hays, KS, Adj: 9
City: Hazleton, PA, Adj: 16
City: Heber, UT, Adj: 8
City: Helena, MT, Adj: 5
City: Helena-West Helena, AR, Adj: 12
City: Hemet, CA, Adj: 10
City: Henderson, NC, Adj: 9
City: Henderson, TX, Adj: 13
City: Hereford, TX, Adj: 9
City: Hermiston, OR, Adj: 9
City: Hibbing, MN, Adj: 3
City: Hickory, NC, Adj: 11
City: Highland, IL, Adj: 10
City: High Point, NC, Adj: 11
City: Hillsdale, MI, Adj: 11
City: Hilo, HI, Adj: 2
City: Hilton Head Island, SC, Adj: 5
City: Hinesville, GA, Adj: 7
City: Hobbs, NM, Adj: 14
City: Holland, MI, Adj: 7
City: Hollister, CA, Adj: 16
City: Homosassa Springs, FL, Adj: 8
City: Hood River, OR, Adj: 5
City: Hopkinsville, KY, Adj: 15
City: Hornell, NY, Adj: 6
City: Hot Springs, AR, Adj: 9
City: Houghton, MI, Adj: 0
City: Houma, LA, Adj: 10
City: Houston, TX, Adj: 12
City: Hudson, NY, Adj: 11
City: Hudson, WI, Adj: 16
City: Huntingdon, PA, Adj: 13
City: Huntington, IN, Adj: 13
City: Huntington, WV, Adj: 10
City: Huntsville, AL, Adj: 23
City: Huntsville, TX, Adj: 10
City: Huron, SD, Adj: 6
City: Hurricane, UT, Adj: 4
City: Hutchinson, KS, Adj: 14
City: Hutchinson, MN, Adj: 12
City: Idaho Falls, ID, Adj: 6
City: Ilion, NY, Adj: 6
City: Immokalee, FL, Adj: 6
City: Incline Village, NV, Adj: 28
City: Indiana, PA, Adj: 11
City: Indianapolis, IN, Adj: 14
City: Indianola, IA, Adj: 8
City: Indianola, MS, Adj: 10
City: Indio, CA, Adj: 10
City: Ingleside, TX, Adj: 8
City: Ionia, MI, Adj: 10
City: Iowa City, IA, Adj: 12
City: Iron Mountain, MI, Adj: 4
City: Ishpeming, MI, Adj: 2
City: Ithaca, NY, Adj: 9
City: Jackson, MI, Adj: 10
City: Jackson, MS, Adj: 9
City: Jackson, TN, Adj: 8
City: Jackson, WY, Adj: 4
City: Jacksonville, FL, Adj: 8
City: Jacksonville, IL, Adj: 9
City: Jacksonville, NC, Adj: 10
City: Jacksonville, TX, Adj: 16
City: Jackson, OH, Adj: 9
City: Jamestown, NY, Adj: 7
City: Jamestown, ND, Adj: 3
City: Janesville, WI, Adj: 30
City: Jasper, AL, Adj: 13
City: Jasper, IN, Adj: 9
City: Jayuya, PR, Adj: 14
City: Jefferson, GA, Adj: 8
City: Jefferson City, MO, Adj: 11
City: Jefferson Township North, NJ, Adj: 10
City: Jerome, ID, Adj: 5
City: Jesup, GA, Adj: 6
City: Jewett City, CT, Adj: 8
City: Johnson City, TN, Adj: 7
City: Johnstown, CO, Adj: 13
City: Johnstown, PA, Adj: 10
City: Jonesboro, AR, Adj: 12
City: Joplin, MO, Adj: 13
City: Juana Diaz, PR, Adj: 15
City: Junction City, KS, Adj: 17
City: Juneau, AK, Adj: 0
City: Jupiter Farms, FL, Adj: 4
City: Kahului, HI, Adj: 3
City: Kailua (Hawaii County), HI, Adj: 2
City: Kailua (Honolulu County), HI, Adj: 3
City: Kalaheo, HI, Adj: 2
City: Kalamazoo, MI, Adj: 13
City: Kalispell, MT, Adj: 1
City: Kankakee, IL, Adj: 5
City: Kansas City, MO, Adj: 14
City: Kapaa, HI, Adj: 2
City: Kearney, NE, Adj: 6
City: Keene, NH, Adj: 13
City: Kendallville, IN, Adj: 14
City: Kennett, MO, Adj: 12
City: Kennewick, WA, Adj: 9
City: Kenosha, WI, Adj: 22
City: Keokuk, IA, Adj: 13
City: Kerman, CA, Adj: 16
City: Kerrville, TX, Adj: 7
City: Ketchikan, AK, Adj: 0
City: Kewanee, IL, Adj: 10
City: Key Largo, FL, Adj: 1
City: Key West, FL, Adj: 0
City: Kihei, HI, Adj: 3
City: Kilgore, TX, Adj: 15
City: Kill Devil Hills, NC, Adj: 2
City: Killeen, TX, Adj: 12
City: King City, CA, Adj: 9
City: Kingman, AZ, Adj: 9
City: Kingsport, TN, Adj: 6
City: Kingston, NY, Adj: 10
City: Kingsville, TX, Adj: 8
City: Kinston, NC, Adj: 12
City: Kirksville, MO, Adj: 11
City: Kissimmee, FL, Adj: 13
City: Kittanning, PA, Adj: 12
City: Klamath Falls, OR, Adj: 1
City: Knoxville, TN, Adj: 8
City: Kokomo, IN, Adj: 14
City: Kuna, ID, Adj: 4
City: Kutztown, PA, Adj: 17
City: LaBelle, FL, Adj: 11
City: Laconia, NH, Adj: 9
City: La Crosse, WI, Adj: 5
City: Lady Lake, FL, Adj: 13
City: Lafayette, IN, Adj: 8
City: Lafayette, LA, Adj: 12
City: Lafayette, CO, Adj: 14
City: La Follette, TN, Adj: 7
City: La Grande, OR, Adj: 6
City: LaGrange, GA, Adj: 8
City: Lahaina, HI, Adj: 3
City: Laie, HI, Adj: 3
City: Lake Arrowhead, CA, Adj: 10
City: Lake Charles, LA, Adj: 11
City: Lake City, FL, Adj: 2
City: Lake Conroe Eastshore, TX, Adj: 11
City: Lake Conroe Westshore, TX, Adj: 4
City: Lake Geneva, WI, Adj: 30
City: Lake Havasu City, AZ, Adj: 14
City: Lake Jackson, TX, Adj: 9
City: Lakeland, FL, Adj: 13
City: Lake Los Angeles, CA, Adj: 10
City: Lake Placid, FL, Adj: 11
City: Lakeport, CA, Adj: 5
City: Lakes, AK, Adj: 2
City: Lamesa, TX, Adj: 10
City: Lancaster, OH, Adj: 12
City: Lancaster, PA, Adj: 16
City: Lancaster, SC, Adj: 10
City: Lancaster, CA, Adj: 11
City: Lansing, MI, Adj: 8
City: Lapeer, MI, Adj: 8
City: Laramie, WY, Adj: 15
City: Laredo, TX, Adj: 2
City: Las Cruces, NM, Adj: 5
City: Las Vegas, NM, Adj: 6
City: Las Vegas, NV, Adj: 7
City: Laurel, MS, Adj: 8
City: Laurens, SC, Adj: 10
City: Laurinburg, NC, Adj: 9
City: Lawrence, KS, Adj: 21
City: Lawrenceburg, KY, Adj: 26
City: Lawrenceburg, TN, Adj: 11
City: Lawrenceburg, IN, Adj: 20
City: Lawton, OK, Adj: 12
City: Leavenworth, KS, Adj: 17
City: Lebanon, IN, Adj: 12
City: Lebanon, MO, Adj: 8
City: Lebanon, OR, Adj: 17
City: Lebanon, PA, Adj: 17
City: Lebanon, TN, Adj: 12
City: Lebanon, NH, Adj: 8
City: Leesburg, FL, Adj: 14
City: Lee's Summit, MO, Adj: 14
City: Leominster, MA, Adj: 10
City: Levelland, TX, Adj: 9
City: Lewes, DE, Adj: 11
City: Lewisburg, TN, Adj: 17
City: Lewiston, ID, Adj: 9
City: Lewiston, ME, Adj: 8
City: Lewistown, PA, Adj: 14
City: Lexington, NE, Adj: 5
City: Lexington-Fayette, KY, Adj: 22
City: Lexington Park, MD, Adj: 8
City: Liberal, KS, Adj: 7
City: Lihue, HI, Adj: 2
City: Lima, OH, Adj: 15
City: Lincoln, IL, Adj: 6
City: Lincoln, NE, Adj: 13
City: Lincoln City, OR, Adj: 14
City: Lincolnton, NC, Adj: 14
City: Lindale, TX, Adj: 18
City: Lindsay, CA, Adj: 16
City: Little Rock, AR, Adj: 9
City: Livermore, CA, Adj: 24
City: Lockhart, TX, Adj: 14
City: Lock Haven, PA, Adj: 8
City: Lockport, NY, Adj: 3
City: Lodi, CA, Adj: 25
City: Logan, UT, Adj: 9
City: Logan, WV, Adj: 7
City: Logansport, IN, Adj: 11
City: Lompoc, CA, Adj: 7
City: London, OH, Adj: 15
City: London, KY, Adj: 17
City: Longmont, CO, Adj: 13
City: Long Neck, DE, Adj: 10
City: Longview, TX, Adj: 14
City: Longview, WA, Adj: 16
City: Lorain, OH, Adj: 8
City: Los Alamos, NM, Adj: 7
City: Los Angeles, CA, Adj: 11
City: Los Banos, CA, Adj: 17
City: Los Lunas, NM, Adj: 7
City: Louisville/Jefferson County, KY, Adj: 23
City: Lovington, NM, Adj: 14
City: Lubbock, TX, Adj: 9
City: Ludington, MI, Adj: 4
City: Lufkin, TX, Adj: 11
City: Lumberton, NC, Adj: 9
City: Lynchburg, VA, Adj: 3
City: Lynden, WA, Adj: 9
City: McAlester, OK, Adj: 8
City: McAllen, TX, Adj: 6
City: Macclenny, FL, Adj: 7
City: McComb, MS, Adj: 14
City: McFarland, CA, Adj: 13
City: McKinney, TX, Adj: 18
